Product Title,Product URL,Image URL,Price,_id
Pokemon TCG - s1a - 007/070 (C) - Grubbin,https://okini.land/en/30443-pokemon-tcg-s1a-007-070-c-grubbin-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4c2
Pokemon TCG - s4 - 057/100 (U) - Donphan,https://okini.land/en/30846-pokemon-tcg-s4-057-100-u-donphan-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4c3
Pokemon TCG - s4a - 142/190 - Minccino,https://okini.land/en/32360-pokemon-tcg-s4a-142-190-minccino-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 51,645194cbfcd985d4a2e0f4c4
Pokemon TCG - s2 - 002/096 (C) - Heracross,https://okini.land/en/30499-pokemon-tcg-s2-002-096-c-heracross-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4c5
Pokemon TCG - s3 - 086/100 (U) - Swanna,https://okini.land/en/30716-pokemon-tcg-s3-086-100-u-swanna-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4c6
Pokemon TCG - sA - 022/023 - Hop,https://okini.land/en/34425-pokemon-tcg-sa-022-023-hop-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4c7
Pokemon TCG - SV1S - 027/078 (C) - Kirlia,https://okini.land/en/42383-pokemon-tcg-sv1s-027-078-c-kirlia-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 51,645194cbfcd985d4a2e0f4c8
Pokemon TCG - sB - 024/024 - Triple Acceleration Energy,https://okini.land/en/34894-pokemon-tcg-sb-024-024-triple-acceleration-energy-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 130,645194cbfcd985d4a2e0f4c9
Pokemon TCG - s9 - 036/100 (U) - Electivire,https://okini.land/en/30018-pokemon-tcg-s9-036-100-u-electivire-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 51,645194cbfcd985d4a2e0f4ca
Pokemon TCG - s3 - 012/100 (R) - Blaziken,https://okini.land/en/30653-pokemon-tcg-s3-012-100-r-blaziken-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 104,645194cbfcd985d4a2e0f4cb
